id_sewa,nama_barang,jenis,tanggal_sewa,durasi_sewa,hari,bulan,stok_saat_itu,total_biaya
MIP-00001,Epson 6000 Lumens,Proyektor,2025-04-11,7,Friday,4,8,5161179
MIP-00002,TV Panasonic 43 Inch,TV,2025-01-20,5,Monday,1,10,1294055
MIP-00003,TV LG 43 Inch,TV,2025-11-12,3,Wednesday,11,4,723553
MIP-00004,TV Sony 65 Inch,TV,2025-01-22,9,Wednesday,1,2,8205765
MIP-00005,TV Panasonic 43 Inch,TV,2025-03-30,8,Sunday,3,14,1720633
MIP-00006,Epson 10000 Lumens,Proyektor,2024-04-15,4,Monday,4,2,6338194
MIP-00007,TV Samsung 75 Inch,TV,2025-12-25,2,Thursday,12,8,3335722
MIP-00008,TV LG 43 Inch,TV,2024-03-05,9,Tuesday,3,8,2578648
MIP-00009,TV LG 43 Inch,TV,2024-10-15,5,Tuesday,10,10,1409862
MIP-00010,TV Samsung 50 Inch,TV,2025-05-17,7,Saturday,5,5,3309554
MIP-00011,TV LG 43 Inch,TV,2025-04-06,3,Sunday,4,10,808676
MIP-00012,TV Samsung 75 Inch,TV,2025-07-07,3,Monday,7,7,3867429
MIP-00013,TV LG 43 Inch,TV,2025-10-16,4,Thursday,10,7,1132856
MIP-00014,Epson 10000 Lumens,Proyektor,2025-10-07,4,Tuesday,10,3,7824373
MIP-00015,TV LG 43 Inch,TV,2025-09-24,4,Wednesday,9,3,955770
MIP-00016,TV Sony 65 Inch,TV,2025-11-14,8,Friday,11,1,7250386
MIP-00017,TV Samsung 50 Inch,TV,2025-01-20,3,Monday,1,1,1269355
MIP-00018,Screen 3x4,Screen,2024-08-12,1,Monday,8,2,507027
MIP-00019,TV Panasonic 43 Inch,TV,2024-05-02,1,Thursday,5,8,267116
MIP-00020,Screen 3x4,Screen,2024-05-03,6,Friday,5,3,3493854
MIP-00021,Screen 2x3,Screen,2024-05-26,4,Sunday,5,20,1460972
MIP-00022,Screen 2x3,Screen,2024-05-30,10,Thursday,5,16,3245838
MIP-00023,Screen 3x4,Screen,2025-03-28,5,Friday,3,7,3065674
MIP-00024,Epson 6000 Lumens,Proyektor,2025-11-03,8,Monday,11,1,7515894
MIP-00025,TV Samsung 75 Inch,TV,2024-04-08,9,Monday,4,8,11495499
MIP-00026,Screen 3x4,Screen,2025-02-01,5,Saturday,2,8,2485028
MIP-00027,TV LG 43 Inch,TV,2025-04-14,7,Monday,4,6,1618992
MIP-00028,TV Sony 65 Inch,TV,2025-08-31,1,Sunday,8,5,726858
MIP-00029,Screen 3x4,Screen,2024-02-15,5,Thursday,2,9,3066382
MIP-00030,Screen 2x3,Screen,2024-04-25,5,Thursday,4,1,1587728
MIP-00031,Screen 2x3,Screen,2024-11-18,8,Monday,11,18,2439149
MIP-00032,Epson 10000 Lumens,Proyektor,2024-04-13,1,Saturday,4,5,1559226
MIP-00033,Epson 10000 Lumens,Proyektor,2025-05-20,7,Tuesday,5,5,12255572
MIP-00034,TV LG 43 Inch,TV,2024-04-01,2,Monday,4,7,439097
MIP-00035,Screen 3x4,Screen,2024-12-07,1,Saturday,12,6,528662
MIP-00036,Epson 6000 Lumens,Proyektor,2025-09-11,5,Thursday,9,6,4195513
MIP-00037,Epson 6000 Lumens,Proyektor,2025-09-27,10,Saturday,9,1,8048539
MIP-00038,Screen 2x3,Screen,2025-04-18,5,Friday,4,9,1529958
MIP-00039,Epson 10000 Lumens,Proyektor,2025-09-29,6,Monday,9,5,11175977
MIP-00040,Epson 6000 Lumens,Proyektor,2024-06-02,3,Sunday,6,9,3002252
MIP-00041,Epson 10000 Lumens,Proyektor,2025-03-07,5,Friday,3,1,8680363
MIP-00042,TV Panasonic 43 Inch,TV,2024-08-10,10,Saturday,8,10,2594394
MIP-00043,Epson 10000 Lumens,Proyektor,2025-05-11,4,Sunday,5,2,7158495
MIP-00044,TV LG 43 Inch,TV,2024-09-24,3,Tuesday,9,8,822096
MIP-00045,TV Sony 65 Inch,TV,2025-08-27,10,Wednesday,8,2,8435872
MIP-00046,Epson 10000 Lumens,Proyektor,2024-03-15,8,Friday,3,5,14987298
MIP-00047,Screen 3x4,Screen,2024-04-08,4,Monday,4,7,2115531
MIP-00048,TV LG 43 Inch,TV,2024-10-05,9,Saturday,10,1,2073309
MIP-00049,TV LG 43 Inch,TV,2025-09-03,9,Wednesday,9,9,2484321
MIP-00050,TV Panasonic 43 Inch,TV,2024-03-09,3,Saturday,3,4,773049
MIP-00051,Epson 6000 Lumens,Proyektor,2025-02-01,10,Saturday,2,7,8350902
MIP-00052,Epson 6000 Lumens,Proyektor,2024-08-17,7,Saturday,8,8,5818073
MIP-00053,TV Samsung 75 Inch,TV,2025-02-25,3,Tuesday,2,5,4609762
MIP-00054,Screen 3x4,Screen,2025-02-18,3,Tuesday,2,6,1787187
MIP-00055,TV Sony 65 Inch,TV,2024-06-21,2,Friday,6,2,1744957
MIP-00056,Epson 6000 Lumens,Proyektor,2024-07-08,9,Monday,7,1,7362827
MIP-00057,Screen 3x4,Screen,2025-11-15,5,Saturday,11,5,2373305
MIP-00058,Screen 2x3,Screen,2024-08-20,1,Tuesday,8,1,370553
MIP-00059,Epson 10000 Lumens,Proyektor,2024-12-23,8,Monday,12,2,15904556
MIP-00060,TV Samsung 75 Inch,TV,2025-12-04,6,Thursday,12,1,8637253
MIP-00061,TV LG 43 Inch,TV,2025-07-11,3,Friday,7,2,822570
MIP-00062,Screen 2x3,Screen,2024-09-07,5,Saturday,9,1,1501342
MIP-00063,TV Samsung 75 Inch,TV,2024-08-04,6,Sunday,8,1,9888743
MIP-00064,TV Sony 65 Inch,TV,2025-04-20,1,Sunday,4,5,808243
MIP-00065,TV Sony 65 Inch,TV,2024-03-23,1,Saturday,3,1,737860
MIP-00066,Screen 2x3,Screen,2025-05-02,2,Friday,5,8,670214
MIP-00067,TV Panasonic 43 Inch,TV,2024-02-23,5,Friday,2,11,1095653
MIP-00068,TV Samsung 50 Inch,TV,2025-03-10,7,Monday,3,12,2806371
MIP-00069,TV Sony 65 Inch,TV,2025-03-10,2,Monday,3,1,1527162
MIP-00070,TV Samsung 75 Inch,TV,2024-05-17,8,Friday,5,1,13231529
MIP-00071,TV Samsung 50 Inch,TV,2024-02-12,3,Monday,2,7,1365091
MIP-00072,TV LG 43 Inch,TV,2024-07-13,2,Saturday,7,3,515290
MIP-00073,Epson 10000 Lumens,Proyektor,2025-02-08,6,Saturday,2,1,9305002
MIP-00074,TV Sony 65 Inch,TV,2024-09-05,9,Thursday,9,3,7605614
MIP-00075,Screen 3x4,Screen,2025-12-19,8,Friday,12,10,4819570
MIP-00076,TV Panasonic 43 Inch,TV,2024-01-07,3,Sunday,1,14,838921
MIP-00077,Epson 6000 Lumens,Proyektor,2025-04-29,10,Tuesday,4,1,8663110
MIP-00078,Epson 10000 Lumens,Proyektor,2024-07-30,9,Tuesday,7,3,16596258
MIP-00079,Screen 2x3,Screen,2025-08-17,10,Sunday,8,6,3272964
MIP-00080,TV Samsung 75 Inch,TV,2025-01-11,1,Saturday,1,5,1278390
MIP-00081,TV Panasonic 43 Inch,TV,2025-08-29,8,Friday,8,7,2238059
MIP-00082,TV Panasonic 43 Inch,TV,2024-11-17,4,Sunday,11,4,1140841
MIP-00083,TV Samsung 75 Inch,TV,2025-12-15,8,Monday,12,5,13115830
MIP-00084,Epson 10000 Lumens,Proyektor,2024-04-22,1,Monday,4,5,1808075
MIP-00085,Epson 6000 Lumens,Proyektor,2024-01-10,5,Wednesday,1,12,3693303
MIP-00086,Screen 3x4,Screen,2025-07-03,7,Thursday,7,1,4189904
MIP-00087,TV Samsung 50 Inch,TV,2025-04-03,9,Thursday,4,3,3691577
MIP-00088,TV LG 43 Inch,TV,2024-08-16,3,Friday,8,5,674459
MIP-00089,Epson 6000 Lumens,Proyektor,2024-03-29,2,Friday,3,7,1861465
MIP-00090,TV LG 43 Inch,TV,2025-10-26,1,Sunday,10,7,279968
MIP-00091,Screen 3x4,Screen,2025-01-25,3,Saturday,1,4,1568278
MIP-00092,Screen 3x4,Screen,2024-04-06,5,Saturday,4,1,2979821
MIP-00093,Epson 10000 Lumens,Proyektor,2024-04-27,6,Saturday,4,4,10614916
MIP-00094,Epson 10000 Lumens,Proyektor,2025-11-15,2,Saturday,11,3,2987813
MIP-00095,Screen 3x4,Screen,2024-01-11,10,Thursday,1,6,5240165
MIP-00096,TV Samsung 75 Inch,TV,2025-09-07,2,Sunday,9,7,3100308
MIP-00097,Screen 3x4,Screen,2024-05-06,10,Monday,5,10,5947557
MIP-00098,TV Sony 65 Inch,TV,2025-09-04,5,Thursday,9,4,3598624
MIP-00099,TV LG 43 Inch,TV,2025-03-06,9,Thursday,3,10,2414868
MIP-00100,Screen 3x4,Screen,2025-06-20,10,Friday,6,2,6742761
MIP-00101,Screen 2x3,Screen,2024-06-27,6,Thursday,6,7,2106123
MIP-00102,TV LG 43 Inch,TV,2025-10-23,10,Thursday,10,5,2134820
MIP-00103,Screen 2x3,Screen,2025-04-20,8,Sunday,4,1,2801843
MIP-00104,TV LG 43 Inch,TV,2024-10-12,8,Saturday,10,1,2052472
MIP-00105,TV Samsung 75 Inch,TV,2025-11-08,3,Saturday,11,1,4034574
MIP-00106,TV Panasonic 43 Inch,TV,2024-06-10,1,Monday,6,12,239403
MIP-00107,Epson 6000 Lumens,Proyektor,2025-03-18,8,Tuesday,3,15,5992381
MIP-00108,Epson 10000 Lumens,Proyektor,2024-04-05,8,Friday,4,3,14933521
MIP-00109,Epson 6000 Lumens,Proyektor,2024-01-07,10,Sunday,1,7,7443046
MIP-00110,Screen 3x4,Screen,2025-12-09,4,Tuesday,12,2,2311671
MIP-00111,Epson 10000 Lumens,Proyektor,2024-09-12,9,Thursday,9,4,15448197
MIP-00112,Epson 10000 Lumens,Proyektor,2024-06-06,8,Thursday,6,1,17438542
MIP-00113,Epson 6000 Lumens,Proyektor,2024-10-07,7,Monday,10,6,5446671
MIP-00114,Epson 10000 Lumens,Proyektor,2024-03-15,6,Friday,3,5,11805041
MIP-00115,TV Samsung 50 Inch,TV,2025-01-12,7,Sunday,1,6,2778216
MIP-00116,Screen 3x4,Screen,2025-03-30,10,Sunday,3,10,6183779
MIP-00117,TV Samsung 50 Inch,TV,2025-12-05,3,Friday,12,3,1319086
MIP-00118,Epson 10000 Lumens,Proyektor,2024-08-14,6,Wednesday,8,5,10424558
MIP-00119,Epson 10000 Lumens,Proyektor,2025-05-05,1,Monday,5,5,1748092
MIP-00120,TV Samsung 50 Inch,TV,2024-01-17,1,Wednesday,1,11,449391
MIP-00121,TV Samsung 75 Inch,TV,2024-06-20,3,Thursday,6,2,4642395
MIP-00122,TV LG 43 Inch,TV,2024-11-25,9,Monday,11,8,2213553
MIP-00123,TV Sony 65 Inch,TV,2025-12-10,8,Wednesday,12,1,6559362
MIP-00124,TV Sony 65 Inch,TV,2024-03-26,10,Tuesday,3,5,7550851
MIP-00125,TV Sony 65 Inch,TV,2024-08-10,4,Saturday,8,2,3530767
MIP-00126,Epson 10000 Lumens,Proyektor,2024-05-10,5,Friday,5,2,8829445
MIP-00127,TV Samsung 50 Inch,TV,2025-01-31,2,Friday,1,10,905445
MIP-00128,TV Sony 65 Inch,TV,2024-05-20,2,Monday,5,3,1810752
MIP-00129,TV Samsung 50 Inch,TV,2025-11-27,8,Thursday,11,9,3353421
MIP-00130,TV Samsung 50 Inch,TV,2024-01-03,8,Wednesday,1,4,3370218
MIP-00131,TV Samsung 50 Inch,TV,2025-08-07,1,Thursday,8,4,435370
MIP-00132,TV Panasonic 43 Inch,TV,2024-11-14,8,Thursday,11,13,1980440
MIP-00133,Epson 10000 Lumens,Proyektor,2024-11-05,5,Tuesday,11,2,9617936
MIP-00134,TV Samsung 75 Inch,TV,2025-05-31,5,Saturday,5,7,7792000
MIP-00135,TV Samsung 75 Inch,TV,2025-05-04,3,Sunday,5,6,4848621
MIP-00136,TV LG 43 Inch,TV,2024-03-29,9,Friday,3,5,2516571
MIP-00137,Epson 10000 Lumens,Proyektor,2024-07-13,9,Saturday,7,2,17414114
MIP-00138,Epson 6000 Lumens,Proyektor,2024-05-03,6,Friday,5,5,4732423
